Time of Measurement,Weight(kg),BMI,Body Fat(%),Fat-free Body Weight(kg),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Skeletal Muscle(%),Muscle Mass(kg),Bone Mass(kg),Protein(%),BMR(kcal),Metabolic Age,Remarks
2023-01-30 21:47:53,64.20,19.6,13.7,55.40,12.5,3.0,62.3,55.7,52.60,2.77,19.7,1566,22,
2023-02-01 08:02:44,63.50,19.4,13.2,55.10,12.1,2.0,62.6,56.1,52.40,2.76,19.8,1560,23,
2023-02-02 08:04:13,63.50,19.4,13.2,55.10,12.1,2.0,62.6,56.1,52.40,2.76,19.8,1560,23,
2023-02-03 08:03:07,62.85,19.2,12.7,54.90,11.7,2.0,63.1,56.4,52.10,2.75,19.9,1555,23,
2023-02-04 08:02:26,63.35,19.3,13.1,55.00,12.0,2.0,62.7,56.1,52.30,2.75,19.9,1559,23,
2023-02-05 08:02:48,63.65,19.4,13.3,55.20,12.2,2.0,62.6,56.0,52.40,2.76,19.7,1561,23,
2023-02-06 08:02:51,63.80,19.5,13.4,55.20,12.3,2.0,62.5,55.9,52.50,2.76,19.8,1563,23,
2023-02-07 08:02:34,63.45,19.4,13.2,55.10,12.1,2.0,62.7,56.1,52.30,2.76,19.8,1559,23,
2023-02-08 08:05:02,63.80,19.5,13.4,55.20,12.3,2.0,62.5,55.9,52.50,2.76,19.8,1563,23,
2023-02-09 08:03:00,63.45,19.4,13.2,55.10,12.1,2.0,62.7,56.1,52.30,2.76,19.8,1559,23,
2023-02-10 08:03:26,63.60,19.4,13.3,55.20,12.2,2.0,62.7,56.1,52.40,2.76,19.7,1561,23,
2023-02-11 08:03:54,63.20,19.3,13.0,55.00,11.9,2.0,62.8,56.2,52.20,2.75,19.8,1557,23,
2023-02-12 08:03:48,63.80,19.5,13.4,55.20,12.3,2.0,62.5,55.9,52.50,2.76,19.8,1563,23,
2023-02-13 08:04:56,64.35,19.6,13.8,55.40,12.6,3.0,62.2,55.6,52.70,2.77,19.7,1568,22,
2023-02-14 08:07:53,63.50,19.4,13.2,55.10,12.1,2.0,62.6,56.1,52.40,2.76,19.8,1560,23,
2023-02-15 08:22:01,63.70,19.4,13.3,55.20,12.2,2.0,62.6,56.0,52.50,2.76,19.8,1562,23,
2023-02-24 07:34:09,64.65,19.7,14.1,55.60,12.9,3.0,62.1,55.6,52.80,2.78,19.5,1569,22,
2023-02-25 09:29:15,63.55,19.4,13.2,55.10,12.1,2.0,62.6,56.0,52.40,2.76,19.9,1561,23,
2023-02-26 08:08:33,63.70,19.4,13.4,55.20,12.3,2.0,62.6,56.0,52.40,2.76,19.7,1561,23,
2023-02-27 08:04:26,63.60,19.4,13.3,55.10,12.2,2.0,62.6,56.0,52.40,2.76,19.8,1561,23,
2023-02-28 08:04:25,63.80,19.5,13.4,55.20,12.3,2.0,62.5,55.9,52.50,2.76,19.8,1563,23,
2023-03-01 08:04:16,63.35,19.3,13.1,55.10,12.0,2.0,62.8,56.2,52.30,2.76,19.8,1559,23,
2023-03-02 08:06:45,63.30,19.3,13.1,55.00,12.0,2.0,62.7,56.1,52.30,2.75,19.8,1558,23,
2023-03-03 08:03:59,63.35,19.3,13.1,55.10,12.0,2.0,62.8,56.2,52.30,2.76,19.8,1559,23,
2023-03-04 08:07:13,63.00,19.2,12.8,54.90,11.8,2.0,62.9,56.3,52.20,2.75,19.9,1556,23,
2023-03-05 08:14:41,62.95,19.2,,,,,,,,,,,,
